	id	title	all_artists	popularity	release_date	genre	danceability	energy	key	loudness	mode	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature
108	2hnMS47jN0etwvFPzYk11f	Santeria	Sublime	82	1996-07-30	{'rap rock', 'ska mexicano', 'reggae fusion', 'ska punk'}	0.682	0.765	1	-5.021	0	0.0268	3.42e-05	0.188	0.567	90.807	182747	4
109	1Qa0Y05al633fG8f9Peytc	Maybe I’m Amazed - 2011 Remaster	Paul McCartney	68	1970-04-17	{'classic rock', 'mellow gold', 'beatlesque', 'rock'}	0.471	0.494	7	-10.407	1	0.387	0.0944	0.617	0.373	79.255	229827	4
110	2BY7ALEWdloFHgQZG6VMLA	Brandy (You're a Fine Girl)	Looking Glass	79	1972	{'sunshine pop'}	0.716	0.625	1	-11.369	0	0.396	1.97e-05	0.134	0.826	125.276	186827	4
111	0LAcM6I7ijW4VVW0aytl1t	One (Remastered)	Metallica	72	1988-09-07	{'thrash metal', 'old school thrash', 'hard rock', 'metal', 'rock'}	0.438	0.687	7	-9.15	1	0.000668	0.0801	0.42	0.426	103.01	446146	3
112	48yZwqAxCZk0t2ssDw2hzH	Rule The World - Radio Edit	Take That	40	2007-01-01	{'boy band', 'europop', 'talent show'}	0.357	0.774	2	-4.226	1	0.0376	0.0	0.348	0.348	164.054	237760	4
113	5NdxiycRi3nP2v7RJoAJIT	Your Hand In Mine	Explosions In The Sky	0	2003-11-04	{'post-rock', 'melancholia', 'instrumental post-rock', 'cinematic post-rock', 'american post-rock'}	0.279	0.472	4	-16.42	1	0.103	0.874	0.063	0.135	115.13	496573	3
114	4je9hv9suQQXUeTtSYLssD	Memories	Sappheiros	34	2015-09-17	set()	0.548	0.456	8	-11.414	0	0.896	0.888	0.0989	0.0944	140.006	315455	4
115	365TSrFPqM66giaxJuafR3	Shine A Little Light	The Black Keys	59	2019-06-28	{'alternative rock', 'modern rock', 'modern blues rock', 'blues rock', 'garage rock', 'indietronica', 'punk blues', 'indie rock', 'rock', 'roots rock'}	0.44	0.719	8	-6.645	0	0.0217	5.09e-06	0.0663	0.523	111.398	196777	4
116	7vVtCG0LmChEV6NaIwALOh	People Need A Melody	The Head And The Heart	45	2019-05-03	{'folk-pop', 'stomp and holler', 'seattle indie'}	0.586	0.54	0	-5.761	1	0.192	0.0	0.127	0.162	82.156	252302	4
117	2EWpa5XnAuSn0sIkSSIhYk	Wish I Knew You	The Revivalists	69	2015-07-15	{'modern alternative rock'}	0.649	0.718	0	-6.593	0	0.142	0.0713	0.124	0.718	101.034	274093	4
118	1IcwyDAAdo5mYIC5ujB9sz	I Am Not in Love Anymore	Liza Anne	32	2014-02-04	{'indie folk'}	0.541	0.619	4	-7.247	0	0.261	1.24e-05	0.112	0.381	87.828	278958	4
119	7i4djTQpiLyENLfjkIgFho	Crinan Wood	Alexi Murdoch	28	2011-03-08	{'indie folk', 'acoustic pop', 'british singer-songwriter'}	0.439	0.152	3	-18.313	1	0.989	0.633	0.0668	0.109	136.646	523080	4
120	2mtYt7WxFKIi2sCc3xntOj	Wait	Alexi Murdoch	30	2006-06-06	{'indie folk', 'acoustic pop', 'british singer-songwriter'}	0.469	0.286	6	-9.454	1	0.78	0.0103	0.197	0.164	116.368	357307	4
121	1m7ei97uPOsZXCqiXuZhZF	Ill With Want	The Avett Brothers	36	2009-01-01	{'north carolina indie', 'indie folk', 'stomp and holler', 'new americana', 'progressive bluegrass', 'north carolina roots'}	0.425	0.409	7	-6.526	1	0.74	0.00139	0.227	0.289	138.398	244987	4
122	0ySxC028CNDtK2G7zuaUcn	The Once And Future Carpenter	The Avett Brothers	43	2012-01-01	{'north carolina indie', 'indie folk', 'stomp and holler', 'new americana', 'progressive bluegrass', 'north carolina roots'}	0.552	0.615	4	-8.604	1	0.183	0.00487	0.302	0.436	142.585	292200	4
123	6H3kDe7CGoWYBabAeVWGiD	Gimme Shelter	The Rolling Stones	78	1969-12-05	{'classic rock', 'album rock', 'rock', 'british invasion'}	0.634	0.63	1	-8.277	0	0.447	0.039	0.17	0.489	118.628	270773	4
124	1iDcKYNvo6gglrOG6lvnHL	Sympathy For The Devil	The Rolling Stones	0	1968-12-06	{'classic rock', 'album rock', 'rock', 'british invasion'}	0.668	0.672	9	-10.79	1	0.581	1.09e-06	0.0403	0.613	115.767	377747	4
125	4LKieNzKrd4nk25Mq8dkfu	There Must Be Discipline	Jocko Willink	0	2019-01-25	{'welsh hip hop', 'motivation', 'hard motivation'}	0.485	0.943	10	-4.363	0	4.98e-05	0.566	0.45	0.164	139.973	281143	4
126	3qrEG6rQ9Qm72MNWeUKKiU	Wham Bam Shang-A-Lang	Silver	70	1976	set()	0.65	0.759	1	-4.932	1	0.353	0.0	0.155	0.943	121.454	212840	4
