	id	title	all_artists	popularity	release_date	genre	danceability	energy	key	loudness	mode	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature
475	6iCJCZqDJjmBxt07Oid6FI	Buttercup	Hippo Campus	65	2017-02-24	{'minneapolis indie', 'pov: indie', 'modern rock'}	0.623	0.763	9	-4.412	1	0.199	6.52e-06	0.126	0.199	108.871	226610	4
476	3QJUvByLFesgWYAgnL8JbA	Monsoon	Hippo Campus	50	2017-02-24	{'minneapolis indie', 'pov: indie', 'modern rock'}	0.29	0.308	5	-11.074	1	0.938	0.0294	0.106	0.205	84.88	222820	1
477	2QgNcjwEn0vGmTommfszQd	Lose It	Oh Wonder	59	2015-09-04	{'indie poptimism', 'pov: indie', 'electropop'}	0.52	0.329	2	-9.337	0	0.725	1.31e-05	0.333	0.171	87.857	229935	4
478	2pGH58HmgqdOcZTTO9Po7t	Here I Am	Bryan Adams	54	2002-05-04	{'soft rock', 'heartland rock', 'mellow gold', 'canadian pop', 'classic canadian rock', 'canadian singer-songwriter'}	0.262	0.296	3	-13.793	1	0.517	0.0168	0.102	0.0806	85.714	271960	4
479	1Of1g1PMt1wKW1L4Te6oDM	The Forgotten	Green Day	46	2012-12-11	{'permanent wave', 'rock', 'modern rock', 'punk'}	0.534	0.425	9	-5.917	1	0.128	0.0	0.14	0.0742	132.041	298733	4
480	5BgeAX4HuZdcuCqmu4pIMM	CHANT (feat. Tones And I)	Tones And I	57	2022-07-22	{'seattle hip hop', 'australian pop', 'pop rap'}	0.698	0.782	1	-5.347	1	0.213	0.0	0.181	0.506	112.176	270635	4
481	64Jyg9AzWl3AHdnkKPmY4T	2AM.	Sage The Gemini	60	2014-01-01	{'southern hip hop', 'pop rap', 'trap', 'hyphy', 'pop r&b'}	0.849	0.534	4	-6.365	1	0.0472	0.0	0.25	0.599	102.014	237653	4
482	60nXduun3ybrHhtDOUmGmV	Nails, Hair, Hips, Heels	Todrick Hall	6	2019-05-23	{'strut'}	0.934	0.611	1	-8.688	1	0.339	6.57e-06	0.0853	0.782	126.012	236190	4
483	2uhEKg8kIzpdvz4gyy6x8W	Only Love	Ben Howard	72	2011-01-01	{'folk-pop', 'british singer-songwriter'}	0.545	0.485	8	-9.941	1	0.3	0.00137	0.119	0.341	80.401	249173	4
484	5CalS8Gn69OOrR9aiw0ZO9	Honeybee	The Head And The Heart	68	2019-05-17	{'folk-pop', 'stomp and holler', 'seattle indie'}	0.642	0.52	9	-7.886	1	0.118	0.000509	0.552	0.488	136.014	196055	4
485	2gs5N91wmSZmABwYrtqYAi	We Are One	Casper Esmann	40	2018-09-07	{'acoustic guitar cover', 'instrumental acoustic guitar'}	0.496	0.199	5	-18.894	1	0.9	0.894	0.0996	0.924	81.638	159320	4
486	4qyfir5Yr7nfo05g6cyFMT	Promise	Ben Howard	64	2011-01-01	{'folk-pop', 'british singer-songwriter'}	0.367	0.189	2	-15.736	1	0.889	0.428	0.364	0.177	156.643	384080	4
487	6uvh0In7u1Xn4HgxOfAn8O	Matilda	Harry Styles	84	2022-05-20	{'pop'}	0.507	0.294	2	-10.0	1	0.896	1.97e-05	0.0966	0.386	114.199	245964	4
488	0pBLfQ5JBjh12H6DGZjMwM	Elevate	St. Lucia	53	2012	{'shimmer pop', 'neo-synthpop', 'indietronica', 'nyc pop', 'metropopolis'}	0.541	0.982	2	-4.908	1	0.00767	0.000809	0.291	0.723	104.035	308360	4
489	7ykWjHHszWWVOv7Tz0xya7	Lifeline	Joshua Bassett	53	2022-09-23	{'singer-songwriter pop'}	0.481	0.362	5	-9.392	1	0.431	1.44e-06	0.104	0.209	86.232	229413	4
490	5MMZJtHOiH1RmQSSe3DJdg	Sleep On The Floor	The Lumineers	72	2016-04-08	{'folk-pop', 'modern rock', 'stomp and holler'}	0.389	0.431	7	-8.061	1	0.249	0.0	0.13	0.275	142.14	211851	4
491	3dNjUFt6EFU4Gq6Q5vfJqf	Girls Like Girls	Hayley Kiyoko	63	2015-02-03	{'alt z', 'indie poptimism', 'pop'}	0.611	0.701	6	-5.235	1	0.0109	9.83e-06	0.0994	0.604	142.027	229656	4
492	3QzbEvmnuZIONNv82PylZb	Our Own House	MisterWives	57	2015-02-24	{'nyc pop', 'indie poptimism', 'modern rock'}	0.559	0.76	8	-4.682	1	0.00228	0.000481	0.052	0.433	125.773	232187	4
493	0RUXHlYhA057fCOe2vqIqu	Ships In The Night	Mat Kearney	51	2011-01-01	{'acoustic pop', 'neo mellow'}	0.448	0.885	9	-3.755	1	0.111	3.65e-06	0.0476	0.134	178.151	255893	4
494	0nrRP2bk19rLc0orkWPQk2	Wake Me Up	Avicii	88	2013-01-01	{'pop dance', 'edm', 'pop'}	0.532	0.783	2	-5.697	1	0.0038	0.0012	0.161	0.643	124.08	247427	4
495	0WT7M7AznSiyrcEJGhJJ3h	Bumblebee	Rachel Brown	3	2011-02-22	set()	0.511	0.529	4	-8.341	1	0.658	0.0	0.0986	0.494	77.488	226905	4
496	20ORwCJusz4KS2PbTPVNKo	Leavin'	Jesse McCartney	64	2008	{'dance pop', 'post-teen pop', 'pop'}	0.687	0.71	9	-5.84	1	0.0283	3.71e-06	0.0689	0.886	79.235	216880	4
497	3X3mfRMRaPJRiIMDMQtSkd	Landslide	Oh Wonder	67	2015-09-04	{'indie poptimism', 'pov: indie', 'electropop'}	0.624	0.423	1	-8.757	1	0.748	8.18e-05	0.103	0.325	81.299	208229	4
498	2kJqNHHGOzLNahukdvlDWN	Drive	Oh Wonder	60	2015-09-04	{'indie poptimism', 'pov: indie', 'electropop'}	0.657	0.456	9	-8.351	1	0.705	8.84e-06	0.084	0.381	141.735	196466	4
499	5jOQ5v49S1h496AiNlk682	Plans	Oh Wonder	45	2015-09-04	{'indie poptimism', 'pov: indie', 'electropop'}	0.458	0.298	0	-13.191	1	0.833	0.0599	0.0631	0.144	76.575	235671	4
500	1HwpWwa6bnqqRhK8agG4RS	Beautiful Soul	Jesse McCartney	72	2004-01-01	{'dance pop', 'post-teen pop', 'pop'}	0.66	0.666	9	-4.342	1	0.0759	0.0	0.0268	0.933	89.975	214227	4
501	3tJ4y2Zqx6gM9xOAuFfsSF	Cool Girl	Tove Lo	66	2016-10-28	{'swedish electropop', 'swedish pop', 'pop', 'swedish synthpop', 'metropopolis'}	0.674	0.694	9	-7.076	0	0.313	7.17e-06	0.0752	0.203	101.993	199179	4
502	6sLs12uIqb77eCbXRXwYcN	She's Somebody's Daughter (reimagined)	Drew Baldridge	38	2022-09-30	{'country pop', 'modern country pop'}	0.456	0.488	6	-7.158	1	0.183	2.15e-05	0.138	0.263	172.158	209520	4
503	4zrKN5Sv8JS5mqnbVcsul7	Celestial	Ed Sheeran	79	2022-09-29	{'singer-songwriter pop', 'uk pop', 'pop'}	0.574	0.852	2	-1.248	1	0.0529	0.0	0.161	0.501	123.038	209027	4
504	2KCvVtHmP00rHHS1Piuqop	moon and back	JVKE	0	2022-09-23	{'singer-songwriter pop', 'modern indie pop', 'pov: indie'}	0.596	0.493	2	-4.263	1	0.569	3.02e-05	0.208	0.492	180.132	148298	4
505	5p9XWUdvbUzmPCukOmwoU3	Suddenly I See	KT Tunstall	76	2005-01-01	{'lilith', 'pop rock', 'neo mellow', 'scottish singer-songwriter'}	0.587	0.767	0	-5.713	1	0.225	0.0	0.112	0.664	100.38	201707	4
506	3L08akAE8Fweu2Hnw8ZMJ4	Forgot to Laugh	Bridgit Mendler	42	2012-01-01	{'post-teen pop', 'pop'}	0.572	0.803	5	-4.088	1	0.0126	0.000123	0.168	0.747	181.972	189920	4
507	6T5eAjtjBQJEWVGtndJ9XA	Who Knows	BEGINNERS	38	2014-02-13	{'bossbeat'}	0.583	0.82	5	-4.144	1	0.0443	0.61	0.0791	0.575	128.011	192502	4
508	0lQyu3gXsyuDj1MvZiVzXc	22 Make	Oh Wonder	41	2022-10-07	{'indie poptimism', 'pov: indie', 'electropop'}	0.619	0.677	10	-9.087	1	0.515	0.0109	0.248	0.674	100.011	212275	4
509	0vrGg6n72wLwgv32jeewgi	Move Me	half•alive	47	2022-02-11	{'alt z', 'pov: indie'}	0.637	0.606	3	-5.697	1	0.0744	0.0777	0.176	0.466	155.005	216533	1
510	66Ae3p10Em3KdTaM787Ptx	this is what heartbreak feels like	JVKE	68	2022-10-04	{'singer-songwriter pop', 'modern indie pop', 'pov: indie'}	0.707	0.474	1	-4.603	1	0.578	0.0	0.11	0.538	109.991	157636	4
511	55cwGtYrExG7slEAor5jeR	rocket science	vaultboy	73	2021-11-09	{'singer-songwriter pop'}	0.741	0.622	10	-8.006	1	0.137	0.0	0.106	0.47	136.014	152987	4
512	53QF56cjZA9RTuuMZDrSA6	I Won't Give Up	Jason Mraz	73	2012-04-13	{'acoustic pop', 'dance pop', 'neo mellow', 'pop'}	0.483	0.303	4	-10.058	1	0.694	0.0	0.115	0.139	133.406	240166	3
513	46fCdWJ7Ddo2QffVE4zbRu	The Sun Will Come Up, The Seasons Will Change	Nina Nesbitt	39	2019-02-01	{'alt z', 'uk pop', 'neo-singer-songwriter'}	0.401	0.436	0	-8.485	1	0.34	0.0	0.103	0.493	88.438	215080	4
514	1x80xTzSL7pok3M5JC3oJz	human	Christina Perri	62	2014-03-27	{'pop'}	0.439	0.489	8	-6.286	1	0.132	0.000643	0.114	0.253	143.808	250707	4
515	0OCRwXbQRdOZ1OtB4Imsp1	Love Someone	Lukas Graham	73	2018-10-26	{'danish pop', 'scandipop'}	0.538	0.409	9	-6.581	0	0.172	0.0	0.11	0.265	171.838	205440	4
516	18UsAG7SfOQ5sxJEdjAMH0	Be My Mistake	The 1975	72	2018-11-30	{'pov: indie', 'modern rock', 'modern alternative rock', 'pop', 'rock'}	0.572	0.155	6	-14.405	1	0.835	0.000137	0.0906	0.0949	109.923	256689	3
